System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"M01C4340AN"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:29:58 AM"
Course,,"ME 330"
Lab Section Number,,"01"
Group,,"C"
Material,,"Steel 4340"
Heat Treatment,,"Annealed"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.00"
Grip Diameter,(mm),"12.65"
Rockwell Hardness,,"97.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.39"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"35.81"
Maximum Strain,(%),"15.08"

Time,Displacement,Force,Strain 1
"27.50","1.83","22.49","0.003251"
"28.00","1.87","22.85","0.003387"
"28.50","1.90","23.20","0.003525"
"29.00","1.93","23.55","0.003674"
"29.50","1.97","23.90","0.003838"
"30.00","2.00","24.25","0.003999"
"30.50","2.03","24.58","0.004183"
"31.00","2.07","24.92","0.004358"
"31.50","2.10","25.25","0.004563"
"32.00","2.13","25.58","0.004763"
"32.50","2.17","25.89","0.004979"
"33.00","2.20","26.20","0.005214"
"33.50","2.23","26.51","0.005458"
"34.00","2.27","26.80","0.005716"
"34.50","2.30","27.09","0.005988"
"35.00","2.33","27.37","0.006274"
"35.50","2.37","27.64","0.006585"
"36.00","2.40","27.90","0.006892"
"36.50","2.43","28.16","0.007221"
"37.00","2.47","28.40","0.007560"
"37.50","2.50","28.64","0.007931"
"38.00","2.53","28.87","0.008304"
"38.50","2.57","29.09","0.008687"
"39.00","2.60","29.31","0.009087"
"39.50","2.63","29.52","0.009491"
"40.00","2.67","29.72","0.009916"
"40.50","2.70","29.92","0.01035"
"41.00","2.73","30.10","0.01079"
"41.50","2.77","30.28","0.01123"
"42.00","2.80","30.46","0.01170"
"42.50","2.83","30.63","0.01216"
"43.00","2.87","30.80","0.01263"
"43.50","2.90","30.96","0.01311"
"44.00","2.93","31.12","0.01360"
"44.50","2.97","31.27","0.01409"
"45.00","3.00","31.42","0.01459"
"45.50","3.03","31.56","0.01508"
"46.00","3.07","31.70","0.01559"
"46.50","3.10","31.84","0.01610"
"47.00","3.13","31.97","0.01661"
"47.50","3.17","32.11","0.01714"
"48.00","3.20","32.23","0.01766"
"48.50","3.23","32.36","0.01819"
"49.00","3.27","32.48","0.01871"
"49.50","3.30","32.60","0.01926"
"50.00","3.33","32.71","0.01979"
"50.50","3.37","32.83","0.02033"
"51.00","3.40","32.94","0.02089"
"51.50","3.43","33.05","0.02143"
"52.00","3.47","33.16","0.02199"
"52.50","3.50","33.26","0.02255"
"53.00","3.53","33.36","0.02312"
"53.50","3.57","33.46","0.02369"
"54.00","3.60","33.56","0.02425"
"54.50","3.63","33.65","0.02483"
"55.00","3.67","33.74","0.02541"
"55.50","3.70","33.83","0.02600"
"56.00","3.73","33.92","0.02658"
"56.50","3.77","34.01","0.02718"
"57.00","3.80","34.09","0.02777"
"57.50","3.83","34.17","0.02838"
"58.00","3.87","34.25","0.02898"
"58.50","3.90","34.33","0.02959"
"59.00","3.93","34.40","0.03020"
"59.50","3.97","34.48","0.03083"
"60.00","4.00","34.55","0.03146"
"60.50","4.03","34.62","0.03209"
"61.00","4.07","34.69","0.03273"
"61.50","4.10","34.75","0.03337"
"62.00","4.13","34.81","0.03404"
"62.50","4.17","34.87","0.03470"
"63.00","4.20","34.94","0.03536"
"63.50","4.23","34.99","0.03604"
"64.00","4.27","35.05","0.03672"
"64.50","4.30","35.10","0.03742"
"65.00","4.33","35.15","0.03810"
"65.50","4.37","35.20","0.03880"
"66.00","4.40","35.25","0.03951"
"66.50","4.43","35.30","0.04023"
"67.00","4.47","35.34","0.04095"
"67.50","4.50","35.38","0.04168"
"68.00","4.53","35.42","0.04242"
"68.50","4.57","35.46","0.04317"
"69.00","4.60","35.50","0.04393"
"69.50","4.63","35.53","0.04471"
"70.00","4.67","35.56","0.04550"
"70.50","4.70","35.59","0.04629"
"71.00","4.73","35.62","0.04710"
"71.50","4.77","35.65","0.04793"
"72.00","4.80","35.67","0.04877"
"72.50","4.83","35.69","0.04960"
"73.00","4.87","35.72","0.05047"
"73.50","4.90","35.74","0.05134"
"74.00","4.93","35.75","0.05222"
"74.50","4.97","35.77","0.05313"
"75.00","5.00","35.78","0.05405"
"75.50","5.03","35.79","0.05499"
"76.00","5.07","35.80","0.05594"
"76.50","5.10","35.80","0.05693"
"77.00","5.13","35.80","0.05793"
"77.50","5.17","35.81","0.05895"
"78.00","5.20","35.80","0.05998"
"78.50","5.23","35.80","0.06104"
"79.00","5.27","35.79","0.06215"
"79.50","5.30","35.77","0.06325"
"80.00","5.33","35.75","0.06441"
"80.50","5.37","35.73","0.06557"
"81.00","5.40","35.71","0.06678"
"81.50","5.43","35.67","0.06799"
"82.00","5.47","35.63","0.06923"
"82.50","5.50","35.59","0.07049"
"83.00","5.53","35.55","0.07178"
"83.50","5.57","35.50","0.07308"
"84.00","5.60","35.44","0.07439"
"84.50","5.63","35.38","0.07571"
"85.00","5.67","35.31","0.07706"
"85.50","5.70","35.24","0.07841"
"86.00","5.73","35.17","0.07977"
"86.50","5.77","35.09","0.08114"
"87.00","5.80","35.01","0.08252"
"87.50","5.83","34.93","0.08391"
"88.00","5.87","34.85","0.08529"
"88.50","5.90","34.76","0.08668"
"89.00","5.93","34.67","0.08807"
"89.50","5.97","34.58","0.08947"
"90.00","6.00","34.49","0.09087"
"90.50","6.03","34.40","0.09227"
"91.00","6.07","34.30","0.09369"
"91.50","6.10","34.20","0.09509"
"92.00","6.13","34.10","0.09649"
"92.50","6.17","34.00","0.09790"
"93.00","6.20","33.90","0.09931"
"93.50","6.23","33.80","0.1007"
"94.00","6.27","33.69","0.1021"
"94.50","6.30","33.59","0.1036"
"95.00","6.33","33.47","0.1050"
"95.50","6.37","33.36","0.1064"
"96.00","6.40","33.26","0.1078"
"96.50","6.43","33.14","0.1092"
"97.00","6.47","33.03","0.1107"
"97.50","6.50","32.91","0.1121"
"98.00","6.53","32.79","0.1135"
"98.50","6.57","32.67","0.1150"
"99.00","6.60","32.54","0.1164"
"99.50","6.63","32.42","0.1178"
"100.00","6.67","32.29","0.1193"
"100.50","6.70","32.17","0.1207"
"101.00","6.73","32.04","0.1221"
"101.50","6.77","31.90","0.1236"
"102.00","6.80","31.77","0.1250"
"102.50","6.83","31.63","0.1265"
"103.00","6.87","31.49","0.1279"
"103.50","6.90","31.35","0.1294"
"104.00","6.93","31.20","0.1308"
"104.50","6.97","31.06","0.1323"
"105.00","7.00","30.90","0.1337"
"105.50","7.03","30.75","0.1352"
"106.00","7.07","30.60","0.1366"
"106.50","7.10","30.43","0.1381"
"107.00","7.13","30.28","0.1396"
"107.50","7.17","30.10","0.1410"
"108.00","7.20","29.93","0.1425"
"108.50","7.23","29.76","0.1440"
"109.00","7.27","29.58","0.1455"
"109.50","7.30","29.39","0.1470"
"110.00","7.33","29.19","0.1485"
"110.50","7.37","28.98","0.1500"
"111.00","7.40","16.27","0.1508"
"111.50","7.43","-0.02963","0.1258"
"112.00","7.47","-0.02772","0.1090"
"112.50","7.50","-0.02610","0.04935"
"113.00","7.53","-0.02384","0.05408"
"113.50","7.57","-0.02186","0.05847"
"114.00","7.60","-0.02157","0.06467"
"114.50","7.63","-0.02038","0.06678"
"115.00","7.67","-0.01879","0.06413"
"115.50","7.70","-0.01943","0.07027"
"116.00","7.73","-0.01684","0.06857"
"116.50","7.77","-0.01711","0.07239"
"116.82","7.79","-0.01691","0.07282"

